,CompanyID,CompanyName,Date,Value,CompanyClass
0,1399,ExeVir,01/03/2018,113923,C-1
1,1399,ExeVir,01/04/2018,112820,C-1
2,1399,ExeVir,01/05/2018,117833,C-1
3,1399,ExeVir,01/06/2018,122743,C-1
4,1399,ExeVir,01/07/2018,125914,C-1
5,1399,ExeVir,01/08/2018,132241,C-1
6,1399,ExeVir,01/09/2018,148261,C-1
7,1399,ExeVir,01/10/2018,150147,C-1
8,1399,ExeVir,01/11/2018,153989,C-1
9,1399,ExeVir,01/12/2018,195179,C-1
10,1399,ExeVir,01/01/2019,201366,C-1
11,1399,ExeVir,01/02/2019,207037,C-1
12,1399,ExeVir,01/03/2019,214868,C-1
13,1399,ExeVir,01/04/2019,227909,C-1
14,1399,ExeVir,01/05/2019,229225,C-1
15,1399,ExeVir,01/06/2019,263086,C-1
16,1399,ExeVir,01/07/2019,256175,C-1
17,1399,ExeVir,01/08/2019,256690,C-1
18,1399,ExeVir,01/09/2019,223045,C-1
19,1399,ExeVir,01/10/2019,221993,C-1
20,1399,ExeVir,01/11/2019,224254,C-1
21,1399,ExeVir,01/12/2019,236746,C-1
22,1399,ExeVir,01/01/2020,243731,C-1
23,1399,ExeVir,01/02/2020,258460,C-1
24,1399,ExeVir,01/03/2020,236314,C-1
25,1399,ExeVir,01/04/2020,241537,C-1
26,1399,ExeVir,01/05/2020,234615,C-1
27,1399,ExeVir,01/06/2020,232250,C-1
28,1399,ExeVir,01/07/2020,223029,C-1
29,1399,ExeVir,01/08/2020,222687,C-1
30,1399,ExeVir,01/09/2020,231051,C-1
31,1399,ExeVir,01/10/2020,243059,C-1
32,1399,ExeVir,01/11/2020,261231,C-1
33,1399,ExeVir,01/12/2020,282788,C-1
34,1399,ExeVir,01/01/2021,293221,C-1
35,1399,ExeVir,01/02/2021,315336,C-1
36,1399,ExeVir,01/03/2021,317625,C-1
37,1399,ExeVir,01/04/2021,325843,C-1
38,1399,ExeVir,01/05/2021,342512,C-1
39,1399,ExeVir,01/06/2021,349881,C-1
40,1399,ExeVir,01/07/2021,370858,C-1
41,1399,ExeVir,01/08/2021,377920,C-1
42,1399,ExeVir,01/09/2021,390853,C-1
43,1399,ExeVir,01/10/2021,401301,C-1
44,1399,ExeVir,01/11/2021,402561,C-1
45,1399,ExeVir,01/12/2021,412159,C-1
46,1399,ExeVir,01/01/2022,415881,C-1
47,1399,ExeVir,01/02/2022,458294,C-1
48,1399,ExeVir,01/03/2022,442858,C-1
49,1399,ExeVir,01/04/2022,452708,C-1
50,1399,ExeVir,01/05/2022,466213,C-1
51,1413,HCW,01/07/2019,4011836.63,C-3
52,1413,HCW,01/08/2019,2772058.7,C-3
53,1413,HCW,01/09/2019,1928311.5,C-3
54,1413,HCW,01/10/2019,2249432.67,C-3
55,1413,HCW,01/11/2019,2202896.11,C-3
